"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"	"padj"
"Q5R1U3"	"DDB_G0277001"	"cpiC"	"cystatin A3, putative cysteine protease inhibitor"	0.00056
"Q86A21"	"DDB_G0272969"	"psmB1"	"proteasome subunit beta type 1, 20S proteasome subunit beta-1"	0.00056
"Q54IQ3"	"DDB_G0288591"	"DDB_G0288591"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.00058
"Q54JZ8"	"DDB_G0287713"	"DDB_G0287713"	""	0.00058
"Q54NU9"	"DDB_G0284975"	"tpsB"	"glycosyltransferase, alpha,alpha-trehalose-phosphate synthase, trehalose 6-phosphate synthase, trehalose-phosphatase"	0.00058
"Q54S99"	"DDB_G0282583"	"DDB_G0282583"	"G protein signalling regulator"	0.00058
"Q54UJ0"	"DDB_G0281051"	"psmD12"	"26S proteasome non-ATPase regulatory subunit 12, 26S proteasome regulatory subunit p55"	0.00058
"Q54XM7"	"DDB_G0278847"	"psmA6"	"proteasome subunit alpha type 6, 20S proteasome subunit alpha-6"	0.00058
"Q8MMQ1"	"DDB_G0275541"	"DDB_G0275541"	"coiled-coil domain-containing protein"	0.00058
"Q54FV6"	"DDB_G0290575"	"DDB_G0290575"	"LIM-type zinc finger-containing protein"	0.00059
"Q86JN6"	"DDB_G0271992"	"DDB_G0271992"	""	0.00059
"Q54QX2"	"DDB_G0283555"	"DDB_G0283555"	"putative spore coat protein"	0.00061
"Q54VC6"	"DDB_G0280451"	"DDB_G0280451"	"galactose-binding domain-containing protein"	0.00062
"Q54LX4"	"DDB_G0286363"	"DDB_G0286363"	""	0.00064
"Q54QA1"	"DDB_G0283979"	"DDB_G0283979"	""	0.00064
"Q55BK0"	"DDB_G0271122"	"ufd1"	"ubiquitin fusion degradation protein UFD1 family protein"	0.00064
"Q1ZXE9"	"DDB_G0285703"	"hipA"	"clathrin-associated protein Hip1r"	0.00068
"Q54QX0"	"DDB_G0283533"	"cbpB"	"calcium-binding protein"	0.00068
"O96759"	"DDB_G0286183"	"agps"	"alkyl-dihydroxyacetonephosphate synthase, alkyldihydroxyacetonephosphate synthase"	0.00069
"P15269"	"DDB_G0276761"	"cotB"	"spore coat protein SP70"	0.00069
"Q54JM5"	"DDB_G0287953"	"psmD1"	"26S proteasome regulatory subunit S1, 26S proteasome non-ATPase regulatory subunit 1"	0.00071
"Q54M73"	"DDB_G0286143"	"DDB_G0286143"	"dullard-like phosphatase domain containing protein"	0.00071
"Q54C26"	"DDB_G0293222"	"DDB_G0293222"	"DTW domain-containing protein 1"	0.00072
"Q54QX8"	"DDB_G0283549"	"DDB_G0283549"	"C2 domain-containing protein"	0.00072
"Q55CW7"	"DDB_G0269872"	"tspB"	"tetraspanin family protein"	0.00072
"Q55G45"	"DDB_G0267830"	"gemA"	"mitochondrial GTPase"	0.00072
"Q23917"	"DDB_G0284331"	"regA"	"cAMP phosphodiesterase RegA"	0.00073
"Q54LY3"	"DDB_G0286307"	"DDB_G0286307"	"unknown"	0.00073
"Q9U1M9"	"DDB_G0277851"	"dymB"	"dynamin B"	0.00073
"Q7Z202"	"DDB_G0289283"	"cupC"	"calcium up-regulated protein, ricin B lectin domain-containing protein"	0.00075
"Q55F37"	"DDB_G0268920"	"mef2A"	"MADS-box transcription factor Mef2A"	0.00076
"Q54I91"	"DDB_G0288921"	"hspI"	"heat shock protein Hsp20 domain-containing protein, putative alpha-crystallin-type heat shock protein"	0.00077
"Q54UJ3"	"DDB_G0281045"	"DDB_G0281045"	"paired amphipathic helix (PAH) containing protein"	0.00079
"Q54CP2"	"DDB_G0292832"	"DDB_G0292832"	""	8e-04
"Q556U6"	"DDB_G0273093"	"DDB_G0273093"	"heat shock protein 70 (Hsp70) family member"	0.00081
"Q86K59"	"DDB_G0277227"	"DDB_G0277227"	"unknown"	0.00085
"Q54TD8"	"DDB_G0281839"	"DDB_G0281839"	"WD40 repeat-containing protein, BOP1, N-terminal domain-containing protein"	0.00087
"Q55C75"	"DDB_G0270188"	"psmD6"	"26S proteasome non-ATPase regulatory subunit 6, 26S proteasome regulatory subunit S10"	0.00089
"Q54F26"	"DDB_G0291155"	"DDB_G0291155"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM"	0.00091
"Q54PE8"	"DDB_G0284605"	"DDB_G0284605"	"P-type ATPase, Ca2+-ATPase"	0.00091
"B0G104"	"DDB_G0295477"	"nip7"	"60S ribosome subunit biogenesis protein"	0.00094
"P34143"	"DDB_G0271736"	"rabC"	"Rab GTPase"	0.00094
"B0G179"	"DDB_G0294603"	"DDB_G0294603"	"C2 domain-containing protein"	0.00098
"Q54BC6"	"DDB_G0293752"	"psmD2"	"26S proteasome regulatory subunit S2, 26S proteasome non-ATPase regulatory subunit 2"	0.00098
"Q55BM1"	"DDB_G0270444"	"DDB_G0270444"	"putative protein serine/threonine kinase, WD40 repeat-containing protein, protein kinase, CMGC group"	0.00098
"Q55GT3"	"DDB_G0267528"	"DDB_G0267528"	""	0.00098
"Q5XM24"	"DDB_G0281663"	"aprA"	"autocrine proliferation repressor AprA"	0.00098
"P14797"	"DDB_G0276765"	"ubqC"	"ubiquitin/ribosomal protein S27a fusion protein"	0.001
"Q54HY7"	"DDB_G0289137"	"DDB_G0289137"	""	0.001
"Q54TF0"	"DDB_G0281819"	"DDB_G0281819"	"unknown"	0.001
"Q55BW3"	"DDB_G0270336"	"ipo4"	"importin 4"	0.001
"Q869W6"	"DDB_G0275057"	"DDB_G0275057"	"putative myosin light chain kinase DDB_G0275057"	0.001
"Q54EM7"	"DDB_G0291444"	"DDB_G0291444"	""	0.0011
"Q54JF0"	"DDB_G0288091"	"DDB_G0288091"	"unknown"	0.0011
"Q54VU5"	"DDB_G0280131"	"DDB_G0280131"	"armadillo repeat-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ARMK family protein kinase"	0.0011
"Q551D7"	"DDB_G0276627"	"DDB_G0276627"	""	0.0011
"Q552R6"	"DDB_G0275921"	"DDB_G0275921"	""	0.0011
"Q555A3"	"DDB_G0274643"	"DDB_G0274643"	""	0.0011
"Q86IA3"	"DDB_G0276141"	"pdi1"	"protein disulfide isomerase"	0.0011
"Q8MP77"	"DDB_G0277427"	"DDB_G0277427"	""	0.0011
"P08799"	"DDB_G0286355"	"mhcA"	"myosin II heavy chain"	0.0012
"P34092"	"DDB_G0289117"	"myoB"	"myosin IB heavy chain"	0.0012
"P34116"	"DDB_G0290259"	"cfrB"	"cell surface glycoprotein GP138 B"	0.0012
"P36418"	"DDB_G0276453"	"vilB"	"protovillin"	0.0012
"Q54GZ0"	"DDB_G0289823"	"omt9"	"O-methyltransferase family 2 protein"	0.0012
"Q54HV5"	"DDB_G0289201"	"mfsd1"	"major facilitator superfamily domain-containing protein 1"	0.0012
"Q54PL1"	"DDB_G0284485"	"DDB_G0284485"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.0012
"Q54WH0"	"DDB_G0279659"	"snd1"	"Staphylococcus nuclease (SNase-like) domain-containing protein, tudor domain-containing protein"	0.0012
"Q58A42"	"DDB_G0283095"	"DD3-3"	"unknown"	0.0012
"O15818"	"DDB_G0292806"	"cluA"	"CluA protein"	0.0013
"P21837"	"DDB_G0285419"	"cryS"	"crystal protein"	0.0013
"Q1ZXH9"	"DDB_G0279403"	"cyp51"	"cytochrome P450 family protein, sterol 14-demethylase"	0.0013
"Q54BI2"	"DDB_G0277285"	"DDB_G0277285_RTE"	"TRE5-A ORF1"	0.0013
"Q54EG0"	"DDB_G0291532"	"DDB_G0291532"	""	0.0013
"Q54LP8"	"DDB_G0286509"	"H2Bv3"	"histone H2B domain-containing protein"	0.0013
"Q54N72"	"DDB_G0285465"	"nog1"	"nucleolar GTP-binding protein 1"	0.0013
"Q54P24"	"DDB_G0284845"	"gxcC"	"Rac guanine nucleotide exchange factor GxcC"	0.0013
"Q54PA8"	"DDB_G0284671"	"DDB_G0284671"	"unknown"	0.0013
"Q54TY0"	"DDB_G0281445"	"fam63B"	"DUF544 family protein"	0.0013
"Q54VG1"	"DDB_G0280351"	"gpaL"	"G-protein subunit alpha 12"	0.0013
"Q557C7"	"DDB_G0273247"	"DDB_G0273247"	""	0.0013
"Q55DU3"	"DDB_G0270884"	"abnA"	"actobindin A"	0.0013
"Q7KWR1"	"DDB_G0276279"	"DDB_G0276279"	""	0.0013
"Q86HS0"	"DDB_G0274457"	"coq9"	"ubiquinone biosynthesis protein"	0.0013
"Q86IV5"	"DDB_G0274597"	"ctnA"	"CF complex subunit Countin"	0.0013
"P02889"	"DDB_G0273979"	"psmD8-2"	"26S proteasome regulatory subunit S14, 26S proteasome non-ATPase regulatory subunit 8"	0.0014
"P15064"	"DDB_G0293434"	"rasG"	"Ras GTPase RasG"	0.0014
"Q54GD5"	"DDB_G0290225"	"DDB_G0290225"	"patatin family protein"	0.0014
"Q54KD3"	"DDB_G0287403"	"DDB_G0287403"	"unknown"	0.0014
"Q54L14"	"DDB_G0286977"	"DDB_G0286977"	""	0.0014
"Q54QR2"	"DDB_G0283679"	"psmB7"	"proteasome subunit beta type 7, 20S proteasome subunit beta-7"	0.0014
"Q54QT7"	"DDB_G0283613"	"cbpC"	"calcium-binding protein"	0.0014
"Q54UJ1"	"DDB_G0281049"	"DDB_G0281049"	""	0.0014
"Q54VK1"	"DDB_G0280289"	"DDB_G0280289"	"Nucleolar GTP-binding protein 2"	0.0014
"Q553N3"	"DDB_G0275749"	"DDB_G0275749"	""	0.0014
"Q55B43"	"DDB_G0271162"	"DDB_G0271162"	""	0.0014
"Q55GP6"	"DDB_G0267572"	"DDB_G0267572"	"Glioma tumor suppressor candidate region gene 2 protein"	0.0014
"P54647"	"DDB_G0287127"	"vatA"	"vacuolar ATPase subunit A"	0.0015
"Q54BI6"	"DDB_G0293606"	"DDB_G0293606"	"cellular retinaldehyde-binding/triple function domain-containing protein, cellular retinaldehyde binding/alpha-tocopherol transport family protein"	0.0015
"Q54C60"	"DDB_G0293010"	"aplD"	"amoebapore-like protein D"	0.0015
"Q54I58"	"DDB_G0288989"	"nipsnap"	"Protein NipSnap homolog 1"	0.0015
"Q54PN7"	"DDB_G0284415"	"psmC3"	"26S proteasome ATPase 3 subunit, 26S protease regulatory subunit 6A, TAT-binding protein 1"	0.0015
"Q54VR1"	"DDB_G0280187"	"DDB_G0280187"	"peptidase C1A family protein, papain family cysteine protease, cathepsin Z-like protein"	0.0015
"O76734"	"DDB_G0282189"	"tupA"	"transcriptional repressor TUP1"	0.0016
"Q54BT3"	"DDB_G0293438"	"abcB2"	"ABC transporter B family protein"	0.0016
"Q54G47"	"DDB_G0290409"	"DDB_G0290409"	"peptidase S28 family protein"	0.0016
"Q54GQ7"	"DDB_G0289991"	"DDB_G0289991"	""	0.0016
"Q54UA6"	"DDB_G0281185"	"DDB_G0281185"	""	0.0016
"Q54VH1"	"DDB_G0280335"	"DDB_G0280335"	""	0.0016
"Q551J8"	"DDB_G0276563"	"DDB_G0276563"	"Four and a half LIM domains protein 1"	0.0016
"Q55EZ0"	"DDB_G0268618"	"pinA"	"peptidyl-prolyl cis-trans isomerase PinA"	0.0016
"Q75K16"	"DDB_G0275459"	"DDB_G0275459"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM"	0.0016
"P32252"	"DDB_G0292998"	"rasB"	"Ras GTPase RasB"	0.0017
"Q54EL4"	"DDB_G0291668"	"tgrA3"	"immunoglobulin E-set domain-containing protein"	0.0017
"Q54IA0"	"DDB_G0288903"	"cox19"	"cytochrome oxidase subunit 19"	0.0017
"Q54KB3"	"DDB_G0287491"	"DDB_G0287491"	"paramecium surface antigen repeat-containing protein"	0.0017
"Q54S03"	"DDB_G0282741"	"ddx18"	"putative RNA helicase, DEAD/DEAH box helicase"	0.0017
"Q54TH9"	"DDB_G0281739"	"gacY"	"RhoGAP domain-containing protein"	0.0017
"Q54VM2"	"DDB_G0280255"	"mdhC"	"malate dehydrogenase"	0.0017
"Q555E5"	"DDB_G0274663"	"DDB_G0274663"	"serine protease, peptidase S28 family protein"	0.0017
"Q55BU7"	"DDB_G0270358"	"DDB_G0270358"	"UBX domain-containing protein 7"	0.0017
"Q55C95"	"DDB_G0270746"	"DDB_G0270746"	"WD40 repeat-containing protein"	0.0017
"Q86JA1"	"DDB_G0276917"	"psmC2"	"26S proteasome ATPase 2 subunit, 26S protease regulatory subunit 7"	0.0017
"Q1ZXH1"	"DDB_G0294585"	"DDB_G0294585"	"unknown"	0.0018
"Q54BN0"	"DDB_G0293540"	"empB"	"emp24/gp25L/p24 family protein B"	0.0018
"Q54C94"	"DDB_G0293006"	"gefF"	"Ras guanine nucleotide exchange factor"	0.0018
"Q54E39"	"DDB_G0291818"	"DDB_G0291818"	""	0.0018
"Q54FY3"	"DDB_G0290479"	"hydA"	"aldehyde dehydrogenase, putative NAD-dependent aldehyde dehydrogenase"	0.0018
"Q54I40"	"DDB_G0289027"	"DDB_G0289027"	"unknown"	0.0018
"Q54P00"	"DDB_G0284897"	"abkD"	"ABC1 family protein kinase AbkD"	0.0018
"Q54VB9"	"DDB_G0280463"	"DDB_G0280463"	"Ribosomal large subunit pseudouridine synthase D"	0.0018
"Q54Y89"	"DDB_G0278667"	"DDB_G0278667"	""	0.0018
"Q54YL9"	"DDB_G0278179"	"DDB_G0278179"	"myb domain-containing protein, DNAJ heat shock N-terminal domain-containing protein"	0.0018
"Q550Q4"	"DDB_G0277041"	"rheb"	"Ras GTPase RheB"	0.0018
"Q553T0"	"DDB_G0275359"	"DDB_G0275359"	""	0.0018
"Q556V7"	"DDB_G0273791"	"DDB_G0273791"	""	0.0018
"Q55CT4"	"DDB_G0270994"	"psaA"	"puromycin-sensitive aminopeptidase PsaA"	0.0018
"Q55GV5"	"DDB_G0267498"	"pgpep"	"pyroglutamyl-peptidase I"	0.0018
"Q7Z2B8"	"DDB_G0277917"	"mlcD"	"myosin ID light chain"	0.0018
"Q86AC9"	"DDB_G0276361"	"DDB_G0276361"	"unknown"	0.0018
"Q95UP9"	"DDB_G0280049"	"rdiB"	"rho GDP-dissociation inhibitor-like protein"	0.0018
"P13833"	"DDB_G0276077"	"mlcR"	"Regulatory myosin light chain (RLC)"	0.0019
"Q54MU3"	"DDB_G0285657"	"DDB_G0285657"	""	0.0019
"Q54NB4"	"DDB_G0285361"	"rnp1B"	"RRM domain-containing protein RNP1B"	0.0019
"Q556Q0"	"DDB_G0273909"	"psmB4-2"	"proteasome subunit beta type 4, 20S proteasome subunit alpha-4"	0.0019
"Q55CR5"	"DDB_G0269934"	"rgbA"	"RGBARG"	0.0019
"Q27562"	"DDB_G0282363"	"psmA1"	"20S proteasome subunit C2, proteasome subunit alpha type 1, 20S proteasome subunit alpha-1"	0.002
"Q54B24"	"DDB_G0293982"	"DDB_G0293982"	""	0.002
"Q54GG4"	"DDB_G0290181"	"DDB_G0290181"	"HAT repeat-containing protein, RNA binding S1 domain-containing protein"	0.002
"Q54R06"	"DDB_G0283457"	"DDB_G0283457"	""	0.002
"Q869X0"	"DDB_G0275073"	"pwp1"	"WD40 repeat-containing protein, periodic tryptophan protein"	0.002
"Q8T2K9"	"DDB_G0275887"	"masA"	"malate synthase"	0.002
"Q95YL4"	"DDB_G0293530"	"pefB"	"penta EF hand calcium binding protein"	0.002
"Q54FK1"	"DDB_G0290795"	"hddc2"	"HD domain-containing protein 2"	0.0021
"Q54K79"	"DDB_G0287537"	"nop14"	"U3 snoRNP protein, U3 small nucleolar ribonucleoprotein"	0.0021
"Q54Q33"	"DDB_G0284165"	"DDB_G0284165"	"ras association (RA) domain-containing protein"	0.0021
"Q54U04"	"DDB_G0281409"	"drpp25"	"RNase P protein subunit, RNase MRP protein subunit"	0.0021
"Q75JW5"	"DDB_G0272182"	"DDB_G0272182"	"putative arginine deiminase"	0.0021
"Q54WZ1"	"DDB_G0279309"	"DDB_G0279309"	"glycine-tyrosine-phenylalanine (GYF) domain-containing protein"	0.0022
"Q550W4"	"DDB_G0277011"	"DDB_G0277011"	"voltage-gated potassium channel, shaker family"	0.0022
"P10901"	"DDB_G0274391"	"alfA"	"alpha-L-fucosidase"	0.0023
"Q54BL4"	"DDB_G0293572"	"DDB_G0293572"	""	0.0023
"Q54U46"	"DDB_G0281283"	"DDB_G0281283"	""	0.0023
"Q550F6"	"DDB_G0277115"	"dcx"	"doublecortin"	0.0023
"Q552E2"	"DDB_G0276221"	"fam21"	"WASH complex subunit FAM21"	0.0023
"Q55A74"	"DDB_G0272048"	"DDB_G0272048"	""	0.0023
"Q55BU8"	"DDB_G0270356"	"erg2"	"C-8 sterol isomerase"	0.0023
"Q54BQ5"	"DDB_G0293498"	"DDB_G0293498"	"UBX domain-containing protein 10"	0.0024
"Q54C55"	"DDB_G0293264"	"pex14"	"transmembrane protein, peroxisomal biogenesis factor 14, peroxin 14"	0.0024
"Q54ZE2"	"DDB_G0277657"	"DDB_G0277657"	"unknown"	0.0024
"Q86I18"	"DDB_G0275063"	"DDB_G0275063"	"unknown"	0.0024
"Q54HR9"	"DDB_G0289265"	"DDB_G0289265"	"putative amino oxidase"	0.0025
"Q54K94"	"DDB_G0287569"	"agl"	"glycogen debranching enzyme, amylo-alpha-1,6-glucosidase"	0.0025
"Q558X5"	"DDB_G0272756"	"csbC"	"contact site B protein C"	0.0025
"Q54BH5"	"DDB_G0293730"	"DDB_G0293730"	"TIM beta/alpha-barrel domain-containing protein"	0.0026
"Q55F70"	"DDB_G0268236"	"DDB_G0268236"	""	0.0026
"Q55GV2"	"DDB_G0268264"	"DDB_G0268264"	"unknown"	0.0026
"O61125"	"DDB_G0284181"	"krsA"	"STE20 family protein kinase KrsA"	0.0027
"Q54HJ2"	"DDB_G0289415"	"DDB_G0289415"	"Pescadillo homolog"	0.0027
"Q54K28"	"DDB_G0287671"	"DDB_G0287671"	""	0.0027
"Q54K32"	"DDB_G0287585"	"rgaA"	"Ras GTPase-activating-like protein rgaA"	0.0027
"Q54QN6"	"DDB_G0283727"	"DDB_G0283727"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.0027
"Q54SD6"	"DDB_G0282525"	"DDB_G0282525"	""	0.0027
"Q558S7"	"DDB_G0273017"	"DDB_G0273017"	"isocitrate lyase"	0.0027
"Q75JE7"	"DDB_G0271720"	"DDB_G0271720"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.0027
"Q8MML5"	"DDB_G0274109"	"paxB"	"paxillin"	0.0027
"P15808"	"DDB_G0280045"	"thyA"	"thymidylate synthase (FAD)"	0.0028
"Q54I21"	"DDB_G0289061"	"DDB_G0289061"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.0028
"Q54YT1"	"DDB_G0278101"	"cnrO"	"C2 domain-containing protein, putative cell number regulator"	0.0028
"Q55EN7"	"DDB_G0268810"	"DDB_G0268810"	"transmembrane protein, magnesium-translocating P-type ATPase"	0.0028
"Q6B9X6"	"DDB_G0268144"	"vwkA"	"alpha protein kinase VwkA"	0.0028
"P54201"	"DDB_G0291239"	"ubpA"	"deubiquitinating enzyme, UBP-type zinc finger-containing protein, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"	0.0029
"Q1ZXE2"	"DDB_G0287875"	"dydA"	"putative Ras effector"	0.0029
"Q54HG2"	"DDB_G0289483"	"ctxA"	"actin bundling protein cortexillin I"	0.0029
"Q54IS0"	"DDB_G0288565"	"bysl"	"bystin"	0.0029
"Q54TA6"	"DDB_G0281889"	"tubA2"	"alpha-tubulin A2"	0.0029
"Q54YJ2"	"DDB_G0278213"	"DDB_G0278213"	""	0.0029
"Q559I6"	"DDB_G0272550"	"DDB_G0272550"	"putative peptide/oligopeptide transporter"	0.0029
"Q75JH9"	"DDB_G0276103"	"enlA"	"enlazin"	0.0029
"Q86JG3"	"DDB_G0271552"	"DDB_G0271552"	"SAM/PH domain-containing protein"	0.0029
"Q8MPA5"	"DDB_G0276951"	"hspG7"	"heat shock protein Hsp20 domain-containing protein"	0.0029
"P54679"	"DDB_G0282817"	"patB"	"P-type ATPase"	0.003
"Q54EY5"	"DDB_G0291251"	"limD"	"LIM-type zinc finger-containing protein"	0.003
"Q54JJ6"	"DDB_G0288009"	"DDB_G0288009"	"UPF0663 family protein"	0.003
"Q54W12"	"DDB_G0280019"	"DDB_G0280019"	"DJ-1/ThiJ/PfpI family protein"	0.003
"Q551J1"	"DDB_G0276567"	"DDB_G0276567"	"CDC50/LEM3 family protein"	0.003
"Q556I6"	"DDB_G0272612"	"DDB_G0272612"	""	0.003
"Q55CJ5"	"DDB_G0270708"	"DDB_G0270708"	"EGF-like domain-containing protein"	0.003
"Q55CX9"	"DDB_G0269860"	"DDB_G0269860"	"importin beta family protein, putative importin 7"	0.003
"Q55GP8"	"DDB_G0267568"	"gacO"	"RhoGAP domain-containing protein"	0.003
"Q9NIV0"	"DDB_G0283389"	"rhgA"	"Rh-like protein/ammonium transporter, Rhesus-like glycoprotein"	0.003
"Q55EI4"	"DDB_G0268884"	"DDB_G0268884"	"osmotically inducible family protein"	0.0032
"Q6TU48"	"DDB_G0272524"	"malA"	"NADP-dependent malate dehydrogenase (oxaloacetate-decarboxylating), NADP malic enzyme"	0.0032
"Q9XY92"	"DDB_G0268630"	"spsA"	"spermidine synthase"	0.0032
"B0G128"	"DDB_G0279539"	"DDB_G0279539"	"RNA-binding region RNP-1 domain-containing protein"	0.0033
"P10733"	"DDB_G0289327"	"sevA"	"severin"	0.0033
"P34042"	"DDB_G0285425"	"gpaD"	"G-protein subunit alpha 4"	0.0033
"Q54I64"	"DDB_G0288977"	"iqgC"	"Ras GTPase-activating protein IqgC"	0.0033
"Q54WT5"	"DDB_G0279449"	"DDB_G0279449"	"villin headpiece (VHP) domain-containing protein, putative actin binding protein"	0.0033
"Q54X63"	"DDB_G0279183"	"kil2"	"P-type ATPase Kil2"	0.0033
"Q557E0"	"DDB_G0273623"	"hspE-2"	"heat shock 70 protein E"	0.0033
"Q54ND2"	"DDB_G0285391"	"xacC"	"RhoGEF domain-containing protein, RhoGAP domain-containing protein, PH domain-containing protein"	0.0034
"Q54QK1"	"DDB_G0283801"	"fam96B"	"DUF59 family protein, FAM96 family protein"	0.0034
"Q54TZ2"	"DDB_G0281429"	"DDB_G0281429"	"Syntaxin-18"	0.0034
"Q556J8"	"DDB_G0274003"	"ap3b-2"	"beta adaptin"	0.0034
"Q55DY5"	"DDB_G0269476"	"act31"	"actin related protein"	0.0034
"Q1ZXD9"	"DDB_G0288017"	"DDB_G0288017"	"putative sphingomyelinase"	0.0035
"Q54ED9"	"DDB_G0291538"	"DDB_G0291538"	"transferase hexapeptide repeat family protein, putative acetyltransferase"	0.0035
"Q54GY8"	"DDB_G0289827"	"rab18"	"Rab GTPase"	0.0035
"Q54X50"	"DDB_G0279209"	"DDB_G0279209"	""	0.0035
"Q54XK2"	"DDB_G0278885"	"sec61a"	"protein transport protein SEC61 alpha subunit, SecY family protein"	0.0035
"Q553E0"	"DDB_G0275775"	"psmD4"	"type A von Willebrand factor (VWFA) domain-containing protein, 26S proteasome regulatory subunit S5A, 26S proteasome non-ATPase regulatory subunit 4, ubiquitin interacting motif (UIM) domain-containing protein"	0.0035
"Q94465"	"DDB_G0288481"	"gchA"	"GTP cyclohydrolase I"	0.0035
"P36408"	"DDB_G0277143"	"gpbA"	"G-protein subunit beta"	0.0036
"Q1ZXC2"	"DDB_G0290745"	"pabpc1B"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, putative polyadenylate binding protein (PABP)"	0.0036
"Q54BT0"	"DDB_G0293444"	"DDB_G0293444"	""	0.0036
"Q54CR8"	"DDB_G0292758"	"mobB"	"Mps1 binder-like protein MobB"	0.0036
"Q54GQ6"	"DDB_G0289993"	"DDB_G0289993"	"acyl-CoA oxidase"	0.0036
"Q54IE1"	"DDB_G0288811"	"DDB_G0288811"	"RabGAP/TBC domain-containing protein, putative GTPase activating protein (GAP)"	0.0036
"Q557B4"	"DDB_G0273233"	"DDB_G0273233"	""	0.0036
"Q54DY1"	"DDB_G0291916"	"argJ"	"amino-acid N-acetyltransferase, N-acetylglutamate synthetase, ornithine transacetylase"	0.0037
"Q55G11"	"DDB_G0268374"	"dcd2B"	"neutral/alkaline nonlysosomal ceramidase family protein"	0.0037
"O76329"	"DDB_G0287291"	"abpD"	"actin binding protein D"	0.0038
"O96923"	"DDB_G0291125"	"gnrA"	"gelsolin-related protein"	0.0038
"P16642"	"DDB_G0272833"	"csbA"	"contact site B protein A"	0.0038
"P29447"	"DDB_G0294489"	"trxC"	"thioredoxin"	0.0038
"P54641"	"DDB_G0273071"	"vatD-1"	"vacuolar ATPase subunit D"	0.0038
"Q54LF0"	"DDB_G0286671"	"sir2B"	"ankyrin repeat-containing protein, NAD(+)-dependent deacetylase, silent information regulator protein (Sir2) family protein"	0.0038
"Q54Q99"	"DDB_G0283905"	"phr2aB"	"protein phosphatase 2A regulatory subunit phr2AB"	0.0038
"Q54RX9"	"DDB_G0282847"	"rab5B"	"Rab GTPase"	0.0038
"Q55BQ2"	"DDB_G0271086"	"gip1"	"G-protein regulatory protein 1"	0.0038
"Q54F90"	"DDB_G0291003"	"DDB_G0291003"	"Protein DOA1"	0.0039
"Q54KF1"	"DDB_G0287295"	"forC"	"formin C"	0.0039
"Q54QP6"	"DDB_G0283709"	"osbH"	"oxysterol binding family protein, member 8"	0.0039
"Q54EQ6"	"DDB_G0291394"	"DDB_G0291394"	"Putative lipase YJR107W"	0.004
"Q54UU7"	"DDB_G0280803"	"DDB_G0280803"	"unknown"	0.004
"Q55F77"	"DDB_G0268222"	"DDB_G0268222"	"acid phosphatase"	0.004
"Q86KL3"	"DDB_G0271908"	"mrrA"	"transmembrane protein"	0.004
"Q54UX5"	"DDB_G0280759"	"DDB_G0280759"	""	0.0041
"Q7YSW8"	"DDB_G0276883"	"canA"	"calcineurin A"	0.0041
"Q86IX4"	"DDB_G0274587"	"nup62"	"nuclear pore protein, nucleoporin 62"	0.0041
"Q54C79"	"DDB_G0293118"	"DDB_G0293118"	"SET and MYND domain-containing protein 5"	0.0042
"Q75JZ1"	"DDB_G0277589"	"gtaC"	"GATA-binding transcription factor GtaC"	0.0042
"Q54QV0"	"DDB_G0283625"	"DDB_G0283625"	"Mob1-like protein"	0.0043
"Q54VN2"	"DDB_G0280237"	"coq5"	"ubiE/COQ5 methyltransferase family protein"	0.0043
"Q557F4"	"DDB_G0273149"	"DDB_G0273149"	"putative importin subunit alpha A"	0.0043
"Q557I5"	"DDB_G0273537"	"DDB_G0273537"	""	0.0043
"Q54R45"	"DDB_G0283497"	"ssr1"	"translocon-associated protein TRAP alpha subunit"	0.0044
"Q54YA9"	"DDB_G0278327"	"DDB_G0278327"	""	0.0044
"Q55DY7"	"DDB_G0269472"	"psmB2"	"proteasome subunit beta type 2"	0.0044
"Q54GC3"	"DDB_G0290359"	"DDB_G0290359"	"armadillo-type fold-containing protein"	0.0045
"Q54H99"	"DDB_G0289605"	"fmoC"	"flavin-containing monooxygenase, dimethylaniline monooxygenase [N-oxide-forming]"	0.0045
"Q55BI0"	"DDB_G0271356"	"DDB_G0271356"	"LIM-type zinc finger-containing protein"	0.0045
"P14327"	"DDB_G0273775"	"cinD-2"	"putative helix-turn-helix transcription factor"	0.0046
"Q54PS9"	"DDB_G0284353"	"osbI"	"oxysterol binding family protein, member 9"	0.0046
"Q54U61"	"DDB_G0281255"	"sec24"	"putative transport protein"	0.0046
"Q86L45"	"DDB_G0273003"	"snrpD3"	"LSM (like-Sm) domain-containing protein, putative small nuclear ribonucleoprotein D3"	0.0046
"Q54BK7"	"DDB_G0293584"	"sqle"	"squalene monooxygenase, squalene epoxidase"	0.0047
